Name,Email,Motto,# Enrolled Paths,# Completed Paths,# Correct Answers,# Incorrect Answers,Last Action,Last Login At,Created At Date
Nathan Sokol-Ward,nathan@moonlite.com,"",0,0,0,0,,"",2012-05-10 22:12:11 UTC
Martha Elster,mjelster@moonlite.com,"",0,0,0,0,,"",2012-05-10 22:12:11 UTC
Dr. Sam Beckett,Dr..Sam.Beckett21@demo.moonlite.com,"",1,0,40,0,2012-05-10 22:13:07 UTC,"",2012-05-10 22:12:55 UTC
Mara Jade,Mara.Jade@moonlite.com,"",0,0,0,0,,"",2012-05-10 22:12:15 UTC
Butch Cassidy,Butch.Cassidy6@demo.moonlite.com,"",1,0,40,0,2012-05-10 22:13:04 UTC,"",2012-05-10 22:12:55 UTC
Stan Marsh,Stan.Marsh@moonlite.com,"",1,0,30,0,2012-05-10 22:12:17 UTC,"",2012-05-10 22:12:15 UTC
Cave Johnson,Cave.Johnson43@demo.moonlite.com,"",1,0,40,0,2012-05-10 22:12:57 UTC,"",2012-05-10 22:12:55 UTC
Carl Malone,Carl.Malone48@demo.moonlite.com,"",1,0,40,0,2012-05-10 22:12:59 UTC,"",2012-05-10 22:12:55 UTC
Mara Jade,Mara.Jade34@demo.moonlite.com,"",1,0,40,0,2012-05-10 22:13:00 UTC,"",2012-05-10 22:12:55 UTC
JC Denton,JC.Denton82@demo.moonlite.com,"",1,0,40,0,2012-05-10 22:13:02 UTC,"",2012-05-10 22:12:55 UTC
Mr. Anderson,Mr..Anderson53@demo.moonlite.com,"",1,0,40,0,2012-05-10 22:13:10 UTC,"",2012-05-10 22:12:55 UTC
Gordon Freeman,Gordon.Freeman22@demo.moonlite.com,"",1,0,40,0,2012-05-10 22:13:12 UTC,"",2012-05-10 22:12:55 UTC
Stan Marsh,Stan.Marsh60@demo.moonlite.com,"",1,0,40,0,2012-05-10 22:13:14 UTC,"",2012-05-10 22:12:55 UTC
Aeryn Sun,Aeryn.Sun4@demo.moonlite.com,"",1,0,40,0,2012-05-10 22:13:16 UTC,"",2012-05-10 22:12:55 UTC
Jayne Cobb,Jayne.Cobb65@demo.moonlite.com,"",1,0,40,0,2012-05-10 22:13:20 UTC,"",2012-05-10 22:12:55 UTC
Ellen Ripley,Ellen.Ripley83@demo.moonlite.com,"",1,0,40,0,2012-05-10 22:13:22 UTC,"",2012-05-10 22:12:55 UTC
